Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
;;;Ø4 мм;Ø4 мм;0.945;-32.50
;;;Ø6 мм;Ø3 мм;1.062;-24.11
;;;Ø6 мм;Ø4 мм;1.337;-4.46
;;;Ø3 мм;Ø6 мм;1.592;13.75
;;;Ø8 мм;Ø3 мм;1.613;15.18
;;;Ø4 мм;Ø6 мм;1.730;23.57
;;;Ø8 мм;Ø4 мм;1.888;34.82
;;;Ø6 мм;Ø6 мм;2.122;51.61
;;;Ø10 мм;Ø3 мм;2.318;65.54
;;;Ø10 мм;Ø4 мм;2.593;85.18
;;;Ø8 мм;Ø6 мм;2.673;90.89
;;;Ø3 мм;Ø8 мм;2.693;92.32
;;;Ø4 мм;Ø8 мм;2.830;102.14
;;;Ø12 мм;Ø3 мм;3.183;127.32
;;;Ø6 мм;Ø8 мм;3.223;130.18
;;;Ø10 мм;Ø6 мм;3.378;141.25
;;;Ø12 мм;Ø4 мм;3.457;146.96

1.5;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-64.50
;;;Ø4 мм;Ø3 мм;0.670;-55.33
;;;Ø3 мм;Ø4 мм;0.808;-46.17
;;;Ø4 мм;Ø4 мм;0.945;-37.00
;;;Ø6 мм;Ø3 мм;1.062;-29.17
;;;Ø6 мм;Ø4 мм;1.337;-10.83
;;;Ø3 мм;Ø6 мм;1.592;6.17
;;;Ø8 мм;Ø3 мм;1.613;7.50
;;;Ø4 мм;Ø6 мм;1.730;15.33
;;;Ø8 мм;Ø4 мм;1.888;25.83
;;;Ø6 мм;Ø6 мм;2.122;41.50
;;;Ø10 мм;Ø3 мм;2.318;54.50
;;;Ø10 мм;Ø4 мм;2.593;72.83
;;;Ø8 мм;Ø6 мм;2.673;78.17
;;;Ø3 мм;Ø8 мм;2.693;79.50
;;;Ø4 мм;Ø8 мм;2.830;88.67
;;;Ø12 мм;Ø3 мм;3.183;112.17
;;;Ø6 мм;Ø8 мм;3.223;114.83
;;;Ø10 мм;Ø6 мм;3.378;125.17
;;;Ø12 мм;Ø4 мм;3.457;130.50

1.6;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-66.72
;;;Ø4 мм;Ø3 мм;0.670;-58.12
;;;Ø3 мм;Ø4 мм;0.808;-49.53
;;;Ø4 мм;Ø4 мм;0.945;-40.94
;;;Ø6 мм;Ø3 мм;1.062;-33.59
;;;Ø6 мм;Ø4 мм;1.337;-16.41
;;;Ø3 мм;Ø6 мм;1.592;-0.47
;;;Ø8 мм;Ø3 мм;1.613;0.78
;;;Ø4 мм;Ø6 мм;1.730;8.12
;;;Ø8 мм;Ø4 мм;1.888;17.97
;;;Ø6 мм;Ø6 мм;2.122;32.66
;;;Ø10 мм;Ø3 мм;2.318;44.84
;;;Ø10 мм;Ø4 мм;2.593;62.03
;;;Ø8 мм;Ø6 мм;2.673;67.03
;;;Ø3 мм;Ø8 мм;2.693;68.28
;;;Ø4 мм;Ø8 мм;2.830;76.88
;;;Ø12 мм;Ø3 мм;3.183;98.91
;;;Ø6 мм;Ø8 мм;3.223;101.41
;;;Ø10 мм;Ø6 мм;3.378;111.09
;;;Ø12 мм;Ø4 мм;3.457;116.09

1.7;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-68.68
;;;Ø4 мм;Ø3 мм;0.670;-60.59
;;;Ø3 мм;Ø4 мм;0.808;-52.50
;;;Ø4 мм;Ø4 мм;0.945;-44.41
;;;Ø6 мм;Ø3 мм;1.062;-37.50
;;;Ø6 мм;Ø4 мм;1.337;-21.32
;;;Ø3 мм;Ø6 мм;1.592;-6.32
;;;Ø8 мм;Ø3 мм;1.613;-5.15
;;;Ø4 мм;Ø6 мм;1.730;1.76
;;;Ø8 мм;Ø4 мм;1.888;11.03
;;;Ø6 мм;Ø6 мм;2.122;24.85
;;;Ø10 мм;Ø3 мм;2.318;36.32
;;;Ø10 мм;Ø4 мм;2.593;52.50
;;;Ø8 мм;Ø6 мм;2.673;57.21
;;;Ø3 мм;Ø8 мм;2.693;58.38
;;;Ø4 мм;Ø8 мм;2.830;66.47
;;;Ø12 мм;Ø3 мм;3.183;87.21
;;;Ø6 мм;Ø8 мм;3.223;89.56
;;;Ø10 мм;Ø6 мм;3.378;98.68
;;;Ø12 мм;Ø4 мм;3.457;103.38

1.8;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-70.42
;;;Ø4 мм;Ø3 мм;0.670;-62.78
;;;Ø3 мм;Ø4 мм;0.808;-55.14
;;;Ø4 мм;Ø4 мм;0.945;-47.50
;;;Ø6 мм;Ø3 мм;1.062;-40.97
;;;Ø6 мм;Ø4 мм;1.337;-25.69
;;;Ø3 мм;Ø6 мм;1.592;-11.53
;;;Ø8 мм;Ø3 мм;1.613;-10.42
;;;Ø4 мм;Ø6 мм;1.730;-3.89
;;;Ø8 мм;Ø4 мм;1.888;4.86
;;;Ø6 мм;Ø6 мм;2.122;17.92
;;;Ø10 мм;Ø3 мм;2.318;28.75
;;;Ø10 мм;Ø4 мм;2.593;44.03
;;;Ø8 мм;Ø6 мм;2.673;48.47
;;;Ø3 мм;Ø8 мм;2.693;49.58
;;;Ø4 мм;Ø8 мм;2.830;57.22
;;;Ø12 мм;Ø3 мм;3.183;76.81
;;;Ø6 мм;Ø8 мм;3.223;79.03
;;;Ø10 мм;Ø6 мм;3.378;87.64
;;;Ø12 мм;Ø4 мм;3.457;92.08

1.9;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-71.97
;;;Ø4 мм;Ø3 мм;0.670;-64.74
;;;Ø3 мм;Ø4 мм;0.808;-57.50
;;;Ø4 мм;Ø4 мм;0.945;-50.26
;;;Ø6 мм;Ø3 мм;1.062;-44.08
;;;Ø6 мм;Ø4 мм;1.337;-29.61
;;;Ø3 мм;Ø6 мм;1.592;-16.18
;;;Ø8 мм;Ø3 мм;1.613;-15.13
;;;Ø4 мм;Ø6 мм;1.730;-8.95
;;;Ø8 мм;Ø4 мм;1.888;-0.66
;;;Ø6 мм;Ø6 мм;2.122;11.71
;;;Ø10 мм;Ø3 мм;2.318;21.97
;;;Ø10 мм;Ø4 мм;2.593;36.45
;;;Ø8 мм;Ø6 мм;2.673;40.66
