Номер,Индекс координаты,Координаты X,Координаты Y,Координаты Z,Тип,Материал
157,2,0.75,7.25,-0.55,44,7
157,3,0.75,6.75,-0.55,44,7
158,0,0.75,6.75,0,5,3
158,1,0.75,7.25,0,5,3
159,0,0.75,6.75,3.3,5,3
159,1,0.75,7.25,3.3,5,3
160,0,0.75,6.75,6.6,5,3
160,1,0.75,7.25,6.6,5,3
161,0,0.75,6.75,9.9,5,3
161,1,0.75,7.25,9.9,5,3
162,0,0.75,7.75,-2.75,44,7
162,1,0.75,7.25,-2.75,44,7
162,2,0.75,7.75,-3.3,44,7
162,3,0.75,7.25,-3.3,44,7
163,0,0.75,7.75,-2.2,44,7
163,1,0.75,7.25,-2.2,44,7
163,2,0.75,7.75,-2.75,44,7
163,3,0.75,7.25,-2.75,44,7
164,0,0.75,7.75,-1.65,44,7
164,1,0.75,7.25,-1.65,44,7
164,2,0.75,7.75,-2.2,44,7
164,3,0.75,7.25,-2.2,44,7
165,0,0.75,7.75,-1.1,44,7
165,1,0.75,7.25,-1.1,44,7
165,2,0.75,7.75,-1.65,44,7
165,3,0.75,7.25,-1.65,44,7
166,0,0.75,7.75,-0.55,44,7
166,1,0.75,7.25,-0.55,44,7
166,2,0.75,7.75,-1.1,44,7
166,3,0.75,7.25,-1.1,44,7
167,0,0.75,7.75,0,44,7
167,1,0.75,7.25,0,44,7
167,2,0.75,7.75,-0.55,44,7
167,3,0.75,7.25,-0.55,44,7
168,0,0.75,7.25,0,5,3
168,1,0.75,7.75,0,5,3
169,0,0.75,7.25,3.3,5,3
169,1,0.75,7.75,3.3,5,3
170,0,0.75,7.25,6.6,5,3
170,1,0.75,7.75,6.6,5,3
171,0,0.75,7.25,9.9,5,3
171,1,0.75,7.75,9.9,5,3
172,0,0.75,8.25,-2.75,44,7
172,1,0.75,7.75,-2.75,44,7
172,2,0.75,8.25,-3.3,44,7
172,3,0.75,7.75,-3.3,44,7
173,0,0.75,8.25,-2.2,44,7
173,1,0.75,7.75,-2.2,44,7
173,2,0.75,8.25,-2.75,44,7
173,3,0.75,7.75,-2.75,44,7
174,0,0.75,8.25,-1.65,44,7
174,1,0.75,7.75,-1.65,44,7
174,2,0.75,8.25,-2.2,44,7
174,3,0.75,7.75,-2.2,44,7
175,0,0.75,8.25,0,44,7
175,1,0.75,7.75,0,44,7
175,2,0.75,8.25,-0.55,44,7
175,3,0.75,7.75,-0.55,44,7
176,0,0.75,7.75,0,5,3
176,1,0.75,8.25,0,5,3
177,0,0.75,7.75,3.3,5,3
177,1,0.75,8.25,3.3,5,3
178,0,0.75,7.75,6.6,5,3
178,1,0.75,8.25,6.6,5,3
179,0,0.75,7.75,9.9,5,3
179,1,0.75,8.25,9.9,5,3
180,0,0.75,8.75,-2.75,44,7
180,1,0.75,8.25,-2.75,44,7
180,2,0.75,8.75,-3.3,44,7
180,3,0.75,8.25,-3.3,44,7
181,0,0.75,8.75,-2.2,44,7
181,1,0.75,8.25,-2.2,44,7
181,2,0.75,8.75,-2.75,44,7
181,3,0.75,8.25,-2.75,44,7
182,0,0.75,8.75,-1.65,44,7
